Ticker,Company Name,Region,Credit Rating,GICS Sector,Closing Price,Div/Share Avg Growth 1Y,Div/Share Avg Growth 3Y,Div/Share Avg Growth 5Y,Dividend Yield,Est EPS Growth,Current Valuation,P/E,P/OCF(FFO),P/FCFE(AFFO)
VRTX:US,VERTEX PHARMACEUTICALS INC,US,,Health Care,438.71,,,,,10.80%,57.51%,23.63x,26.25x,29.94x
VTR:US,VENTAS INC,US,BBB+,Real Estate,83.27,-14.67%,3.44%,-3.45%,2.50%,37.86%,264.72%,138.09x,23.30x,29.03x
VTRS:US,VIATRIS INC,US,BB+,Health Care,13.44,,,11.36%,3.57%,7.98%,-62.24%,5.66x,6.61x,8.25x
VZ:US,VERIZON COMMUNICATIONS INC,US,BBB+,Communication Services,49.40,1.87%,1.91%,1.95%,5.73%,7.16%,-30.85%,10.37x,5.60x,10.21x
WAB:US,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,US,BBB,Industrials,253.91,25.00%,18.66%,16.20%,0.49%,12.99%,81.54%,27.23x,24.87x,29.00x
WAT:US,WATERS CORP,US,BBB,Health Care,304.24,,,,,11.32%,50.81%,22.62x,22.85x,26.81x
WBA:US,WALGREENS BOOTS ALLIANCE INC,US,NR,,11.98,-35.94%,-11.27%,-5.63%,,2.61%,-47.58%,7.19x,39.67x,
WDC:US,WESTERN DIGITAL CORP,US,BBB-,Information Technology,294.97,,,-100.00%,0.17%,41.78%,-10.07%,37.58x,36.81x,40.28x
WEC:US,WEC ENERGY GROUP INC,US,A-,Utilities,117.58,6.89%,7.05%,7.13%,3.24%,7.26%,46.45%,21.97x,11.11x,
WELL:US,WELLTOWER INC,US,A-,Real Estate,202.33,10.16%,5.03%,1.09%,1.46%,32.99%,253.85%,116.73x,36.66x,42.42x
WFC:US,WELLS FARGO & CO,US,BBB+,Financials,80.60,13.33%,15.63%,15.88%,2.23%,13.83%,-16.75%,12.49x,,
WHR:US,WHIRLPOOL CORP,US,BB,Consumer Discretionary,55.47,-24.29%,-8.10%,3.31%,6.49%,10.61%,-39.54%,9.07x,5.68x,17.69x
WM:US,WASTE MANAGEMENT INC,US,A-,Industrials,235.42,10.00%,8.28%,8.68%,1.61%,11.07%,104.45%,30.67x,15.51x,31.06x
WMB:US,WILLIAMS COS INC,US,BBB+,Energy,72.00,5.26%,5.57%,4.57%,2.92%,14.67%,122.69%,33.40x,14.65x,172.01x
WMT:US,WALMART INC,US,AA,Consumer Staples,125.79,13.25%,8.08%,5.58%,0.79%,11.14%,212.51%,46.88x,24.45x,67.85x
WPC:US,CAREY WP INC,US,BBB+,Real Estate,70.25,3.73%,-4.24%,-2.21%,5.30%,6.31%,89.07%,28.36x,16.38x,13.98x
WRB:US,BERKLEY WR CORP,US,,Financials,65.99,32.46%,52.89%,90.50%,0.55%,5.87%,0.32%,15.05x,7.20x,8.23x
