Ticker,Company Name,Region,Credit Rating,GICS Sector,Closing Price,Div/Share Avg Growth 1Y,Div/Share Avg Growth 3Y,Div/Share Avg Growth 5Y,Dividend Yield,Est EPS Growth,Current Valuation,P/E,P/OCF(FFO),P/FCFE(AFFO)
CMI:US,CUMMINS INC,US,A,Industrials,549.68,9.14%,8.15%,7.66%,1.46%,15.14%,49.05%,22.56x,20.53x,29.98x
CMS:US,CMS ENERGY CORP,US,BBB+,Utilities,78.58,5.34%,5.65%,5.89%,2.90%,7.71%,42.46%,21.37x,10.11x,
CNC:US,CENTENE CORP,US,BBB-,Health Care,35.11,,,,,36.01%,-57.87%,15.17x,4.09x,5.12x
CNP:US,CENTERPOINT ENERGY INC,US,BBB+,Utilities,43.71,8.64%,7.95%,3.87%,2.10%,8.68%,62.09%,24.31x,10.79x,
COF:US,CAPITAL ONE FINANCIAL CORP,US,BBB,Financials,181.92,8.33%,2.78%,32.13%,1.76%,12.78%,-38.63%,9.21x,,
COO:US,COOPER COS INC,US,NR,Health Care,70.17,,-50.00%,-25.00%,,8.86%,8.05%,16.21x,15.90x,27.28x
COP:US,CONOCOPHILLIPS,US,A-,Energy,130.52,1.92%,-14.32%,31.44%,2.57%,8.46%,34.30%,20.15x,8.29x,21.41x
COR:US,CENCORA INC,US,BBB+,Health Care,324.80,7.84%,6.14%,5.80%,0.74%,11.05%,28.73%,19.31x,16.33x,20.46x
COST:US,COSTCO WHOLESALE CORP,US,AA,Consumer Staples,"1,014.96",-74.59%,114.40%,129.99%,0.51%,10.46%,246.74%,52.01x,33.98x,58.81x
CPAY:US,CORPAY INC,US,BB+,Financials,293.34,,,,,16.73%,-22.24%,13.01x,13.17x,14.64x
CPB:US,CAMPBELLS CO,US,BBB-,Consumer Staples,22.01,4.05%,1.35%,1.94%,7.09%,-1.65%,-40.19%,8.97x,5.63x,9.55x
CPRT:US,COPART INC,US,,Industrials,33.40,,,,,5.85%,41.23%,21.19x,18.81x,25.93x
CRM:US,SALESFORCE INC,US,A+,Information Technology,187.18,4.00%,4.00%,4.00%,0.94%,11.89%,-1.19%,14.82x,11.71x,12.20x
CSCO:US,CISCO SYSTEMS INC,US,AA-,Information Technology,79.02,2.53%,2.60%,2.67%,2.13%,8.01%,30.45%,19.57x,21.36x,23.33x
CSX:US,CSX CORP,US,BBB+,Industrials,41.22,8.33%,9.14%,8.45%,1.36%,12.69%,64.50%,24.68x,16.28x,38.51x
CTAS:US,CINTAS CORP,US,A-,Industrials,174.34,15.56%,18.00%,25.26%,1.03%,11.05%,141.60%,36.24x,30.74x,36.69x
CTSH:US,COGNIZANT TECHNOLOGY SOLUTIONS CORP,US,,Information Technology,62.54,3.33%,4.73%,7.16%,2.11%,8.36%,-22.41%,11.64x,10.46x,11.62x
CTVA:US,CORTEVA INC,US,A-,Materials,85.46,6.06%,6.47%,6.13%,0.84%,10.61%,67.05%,25.06x,18.41x,22.36x
CVS:US,CVS HEALTH CORP,US,BBB,Health Care,73.49,,6.64%,5.98%,3.62%,12.05%,-28.51%,10.72x,9.11x,11.90x
CVX:US,CHEVRON CORP,US,AA-,Energy,198.97,4.91%,6.40%,5.81%,3.58%,13.95%,77.27%,26.59x,10.65x,20.40x
CZR:US,CAESARS ENTERTAINMENT INC,US,NR,Consumer Discretionary,26.53,,,,,41.98%,,,4.11x,9.08x
D:US,DOMINION ENERGY INC,US,BBB+,Utilities,62.77,,,-4.20%,4.25%,5.98%,20.93%,18.14x,9.74x,
DAL:US,DELTA AIR LINES INC,US,BBB-,Industrials,66.76,35.00%,92.50%,28.33%,1.12%,18.11%,-38.51%,11.14x,5.23x,11.98x
DD:US,DUPONT DE NEMOURS INC,US,BBB+,Materials,45.48,12.38%,9.01%,7.41%,1.76%,16.55%,49.63%,24.77x,13.89x,18.44x
DE:US,DEERE & CO,US,A,Industrials,575.71,10.20%,14.16%,16.40%,1.13%,18.57%,70.83%,31.73x,23.99x,44.93x
DG:US,DOLLAR GENERAL CORP,US,BBB,Consumer Staples,119.74,,2.42%,10.98%,1.97%,9.54%,15.33%,17.30x,7.56x,11.89x
DGX:US,QUEST DIAGNOSTICS INC,US,BBB+,Health Care,198.02,6.42%,6.61%,7.35%,1.74%,8.02%,31.40%,19.71x,12.07x,16.95x
DHI:US,HORTON DR INC,US,BBB+,Consumer Discretionary,139.69,33.33%,21.48%,18.25%,1.29%,12.10%,-15.46%,12.68x,12.93x,13.83x
DHR:US,DANAHER CORP,US,A-,Health Care,191.12,18.52%,13.10%,15.00%,0.84%,8.57%,60.21%,24.03x,20.66x,25.13x
DIS:US,WALT DISNEY CO,US,A,Communication Services,96.61,33.33%,33.33%,-33.33%,1.55%,10.92%,2.38%,15.36x,9.39x,17.47x
DISCK:US,DISCOVERY INC,US,,Communication Services,24.42,,,,,-31.68%,4.38%,15.66x,45.87x,
DLR:US,DIGITAL REALTY TRUST INC,US,BBB+,Real Estate,181.69,,,1.75%,2.69%,-6.11%,284.35%,57.65x,24.13x,27.23x
DLTR:US,DOLLAR TREE INC,US,BBB,Consumer Staples,108.44,,,,,12.83%,22.18%,18.33x,9.00x,16.83x
DOC:US,HEALTHPEAK PROPERTIES INC,US,BBB+,Real Estate,16.52,1.67%,0.56%,-3.45%,7.39%,35.33%,252.15%,124.43x,9.12x,9.97x
DOV:US,DOVER CORP,US,BBB+,Industrials,205.38,0.98%,0.99%,1.00%,1.01%,8.84%,38.87%,20.83x,20.35x,24.19x
DOW:US,DOW INC,US,,Materials,41.40,-25.00%,-8.33%,-5.00%,3.38%,72.00%,,,17.21x,
DPZ:US,DOMINOS PIZZA INC,US,,Consumer Discretionary,370.82,15.23%,16.68%,17.51%,2.15%,9.88%,36.28%,20.44x,15.87x,18.75x
DRI:US,DARDEN RESTAURANTS INC,US,BBB,Consumer Discretionary,196.33,6.87%,8.38%,33.54%,3.06%,8.51%,25.29%,18.79x,12.40x,21.44x
DTE:US,DTE ENERGY CO,US,BBB+,Utilities,148.04,6.87%,7.13%,4.84%,3.15%,7.02%,32.44%,19.87x,9.00x,
DUK:US,DUKE ENERGY CORP,US,BBB+,Utilities,132.22,1.93%,1.97%,2.01%,3.22%,6.61%,37.55%,20.63x,8.37x,
DVA:US,DAVITA INC,US,BB,Health Care,145.58,,,,,17.91%,-30.07%,12.52x,5.41x,7.77x
DVN:US,DEVON ENERGY CORP,US,BBB,Energy,49.49,-33.79%,-42.59%,44.88%,1.94%,8.28%,-18.12%,12.28x,4.29x,9.74x
DXC:US,DXC TECHNOLOGY CO,US,BBB-,Information Technology,12.66,,,-100.00%,,5.22%,-73.46%,3.98x,1.83x,3.38x
DXCM:US,DEXCOM INC,US,,Health Care,62.22,,,,,18.78%,51.06%,28.37x,17.36x,23.68x
EA:US,ELECTRONIC ARTS INC,US,BBB+,Communication Services,203.60,,3.92%,27.94%,0.37%,12.77%,56.66%,23.50x,21.17x,23.41x
EBAY:US,EBAY INC,US,BBB+,Consumer Discretionary,94.14,7.41%,9.68%,12.75%,1.32%,10.00%,11.06%,16.66x,17.63x,22.69x
ECL:US,ECOLAB INC,US,A-,Materials,264.28,13.56%,9.22%,7.30%,1.10%,12.70%,126.62%,33.99x,24.97x,38.95x
ED:US,CONSOLIDATED EDISON INC,US,A-,Utilities,115.43,2.41%,2.47%,2.13%,3.08%,6.46%,32.66%,19.90x,8.64x,
EFX:US,EQUIFAX INC,US,BBB,Industrials,182.39,21.15%,7.05%,4.23%,1.23%,17.41%,32.88%,23.14x,14.11x,20.32x
EG:US,EVEREST GROUP LTD,US,BBB+,Financials,327.09,3.23%,7.27%,5.33%,2.45%,14.95%,-53.75%,6.94x,3.76x,
EIX:US,EDISON INTERNATIONAL,US,BBB-,Utilities,73.46,41.45%,8.37%,7.01%,4.78%,2.40%,-14.33%,11.40x,4.29x,74.21x
EL:US,ESTEE LAUDER COMPANIES INC,US,A-,Consumer Staples,69.12,-35.23%,-7.39%,7.86%,2.03%,29.27%,15.13%,33.70x,20.51x,44.33x
ELV:US,ELEVANCE HEALTH INC,US,A-,Health Care,300.74,4.91%,10.22%,12.58%,2.29%,4.41%,-31.11%,10.33x,14.18x,18.84x
EMN:US,EASTMAN CHEMICAL CO,US,BBB,Materials,75.07,2.15%,2.75%,4.54%,4.48%,11.69%,-9.57%,13.56x,8.87x,18.57x
EMR:US,EMERSON ELECTRIC CO,US,A,Industrials,131.70,0.48%,0.80%,1.08%,1.69%,9.82%,40.38%,21.06x,21.06x,23.94x
ENB:US,ENBRIDGE INC,US,BBB+,Energy,54.15,1.13%,0.48%,2.29%,4.91%,6.04%,66.40%,24.96x,12.49x,44.40x
ENPH:US,ENPHASE ENERGY INC,US,,Information Technology,34.92,,,,,4.34%,-15.06%,12.74x,23.38x,30.99x
EOG:US,EOG RESOURCES INC,US,A-,Energy,142.64,8.38%,-20.98%,50.88%,2.86%,9.86%,-10.38%,13.44x,7.41x,19.67x
EPR:US,EPR PROPERTIES,US,BB+,Real Estate,51.16,3.53%,2.70%,24.76%,7.27%,2.36%,20.31%,15.91x,9.87x,9.84x
EQIX:US,EQUINIX INC,US,BBB+,Real Estate,"1,000.37",10.09%,14.85%,12.09%,2.06%,10.90%,361.83%,69.28x,25.42x,25.42x
EQR:US,EQUITY RESIDENTIAL,US,A-,Real Estate,60.27,2.42%,3.58%,3.00%,4.66%,-13.80%,58.08%,23.71x,15.01x,17.42x
ES:US,EVERSOURCE ENERGY,US,BBB+,Utilities,69.47,5.25%,5.68%,5.81%,4.53%,4.08%,-3.00%,14.55x,6.41x,
ESS:US,ESSEX PROPERTY TRUST INC,US,BBB+,Real Estate,247.34,5.18%,5.35%,4.43%,4.19%,-10.31%,78.26%,26.74x,15.49x,17.58x
ETN:US,EATON CORP PLC,US,A-,Industrials,361.10,10.64%,8.70%,7.36%,1.22%,12.90%,94.24%,29.14x,30.30x,38.23x
ETR:US,ENTERGY CORP,US,BBB+,Utilities,114.90,6.32%,5.98%,5.47%,2.23%,11.87%,89.91%,28.49x,10.17x,
ETSY:US,ETSY INC,US,,Consumer Discretionary,51.64,,,,,31.67%,-9.77%,28.58x,9.31x,9.98x
EVRG:US,EVERGY INC,US,BBB+,Utilities,82.84,3.95%,5.01%,5.65%,3.36%,8.37%,40.29%,21.04x,9.14x,
EW:US,EDWARDS LIFESCIENCES CORP,US,BBB,Health Care,81.05,,,,,12.82%,102.90%,30.44x,30.76x,34.58x
EXC:US,EXELON CORP,US,A-,Utilities,49.33,5.26%,5.83%,8.25%,3.41%,5.71%,17.87%,17.68x,7.74x,
EXPD:US,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,US,,Industrials,145.81,5.48%,4.75%,8.26%,1.06%,3.19%,64.36%,24.45x,20.52x,21.68x
EXPE:US,EXPEDIA GROUP INC,US,BBB,Consumer Discretionary,225.30,,,-100.00%,0.85%,16.79%,-20.22%,13.39x,7.49x,9.36x
EXR:US,EXTRA SPACE STORAGE INC,US,BBB+,Real Estate,133.86,,2.67%,13.27%,4.84%,5.19%,93.52%,29.03x,16.28x,17.32x
FANG:US,DIAMONDBACK ENERGY INC,US,BBB,Energy,193.88,-51.75%,-19.61%,73.97%,2.17%,4.93%,-8.27%,13.76x,6.40x,10.31x
FAST:US,FASTENAL CO,US,,Industrials,46.30,12.18%,14.46%,6.82%,2.07%,10.03%,173.69%,41.05x,40.38x,50.54x
FCX:US,FREEPORT MCMORAN INC,US,BBB-,Materials,61.38,,,103.33%,0.98%,28.90%,2.31%,29.56x,13.77x,46.58x
FDX:US,FEDEX CORP,US,BBB,Industrials,361.63,9.52%,24.14%,17.56%,1.60%,14.30%,23.57%,18.54x,10.80x,21.53x
FE:US,FIRSTENERGY CORP,US,BBB+,Utilities,51.31,4.45%,4.13%,2.48%,3.63%,7.42%,31.79%,19.77x,8.15x,
FFIV:US,F5 INC,US,,Information Technology,303.35,,,,,3.16%,29.25%,19.16x,19.03x,20.01x
FIS:US,FIDELITY NATIONAL INFORMATION SERVICES INC,US,BBB,Financials,46.29,11.11%,-3.01%,4.58%,3.80%,9.65%,-47.53%,7.87x,7.97x,9.10x
FISV:US,FISERV INC,US,BBB,Financials,56.16,,,,,6.23%,-56.02%,6.60x,5.10x,7.25x
FITB:US,FIFTH THIRD BANCORP,US,BBB+,Financials,47.11,6.94%,6.92%,7.37%,3.40%,17.00%,-18.49%,13.85x,,
FLG:US,FLAGSTAR BANK NA,US,NR,Financials,13.48,-80.00%,-56.73%,-34.04%,0.30%,143.89%,,,,
FLO:US,FLOWERS FOODS INC,US,BBB-,Consumer Staples,8.24,3.42%,4.14%,4.46%,12.01%,-6.57%,-46.38%,8.04x,4.04x,5.71x
FMC:US,FMC CORP,US,BB+,Materials,17.75,-21.55%,-4.88%,0.99%,1.80%,-2.65%,-55.47%,6.68x,,
FOX:US,FOX CORP,US,BBB,Communication Services,52.87,3.85%,4.00%,3.27%,1.06%,2.51%,-16.76%,11.26x,11.15x,13.74x
FOXA:US,FOX CORP,US,BBB,Communication Services,58.62,3.85%,4.00%,3.27%,0.96%,2.51%,-7.71%,12.48x,12.36x,15.24x
FRCB:US,FIRST REPUBLIC BANK /SAN FRANCISCO CA/,US,NR,Financials,0.00,19.77%,11.32%,9.11%,,166.04%,,,,
FRT:US,FEDERAL REALTY INVESTMENT TRUST,US,BBB+,Real Estate,106.79,1.37%,1.08%,1.02%,4.23%,-8.99%,68.05%,25.21x,14.66x,19.47x
FTNT:US,FORTINET INC,US,BBB+,Information Technology,82.53,,,,,9.28%,95.60%,29.34x,23.52x,27.34x
FTV:US,FORTIVE CORP,US,BBB,Industrials,56.08,-0.22%,4.57%,5.54%,0.43%,8.84%,34.82%,20.22x,17.24x,19.02x
GAP:US,GAP INC,US,BB+,Consumer Discretionary,24.61,10.00%,3.33%,2.40%,2.84%,9.98%,-23.99%,11.40x,7.24x,11.57x
GD:US,GENERAL DYNAMICS CORP,US,A,Industrials,349.09,6.09%,6.01%,6.51%,1.82%,8.22%,48.69%,22.30x,17.43x,23.34x
GE:US,GE AEROSPACE,US,A-,Industrials,281.16,28.57%,131.86%,79.12%,0.67%,14.42%,182.52%,42.38x,34.04x,39.79x
GILD:US,GILEAD SCIENCES INC,US,A-,Health Care,139.71,2.60%,2.67%,3.05%,2.35%,8.95%,12.48%,16.87x,16.52x,17.49x
GIS:US,GENERAL MILLS INC,US,BBB,Consumer Staples,37.42,1.70%,5.61%,4.18%,6.52%,-2.10%,-29.92%,10.51x,8.13x,10.89x
GL:US,GLOBE LIFE INC,US,A,Financials,142.60,11.11%,8.61%,7.41%,0.93%,7.68%,-35.46%,9.68x,8.12x,11.35x
GLW:US,CORNING INC,US,BBB+,Information Technology,147.92,,1.24%,5.06%,0.76%,23.57%,135.40%,55.48x,44.22x,79.33x
GM:US,GENERAL MOTORS CO,US,BBB,Consumer Discretionary,72.54,18.75%,50.69%,13.02%,0.87%,14.67%,-56.23%,6.56x,2.78x,17.88x
GNRC:US,GENERAC HOLDINGS INC,US,,Industrials,194.09,,,,,26.56%,6.13%,28.19x,24.91x,39.55x
GOOG:US,ALPHABET INC,US,AA+,Communication Services,294.46,38.33%,38.33%,38.33%,0.29%,13.02%,78.80%,26.82x,20.71x,59.19x
GOOGL:US,ALPHABET INC,US,AA+,Communication Services,295.77,38.33%,38.33%,38.33%,0.28%,13.02%,79.60%,26.94x,20.80x,59.45x
GPC:US,GENUINE PARTS CO,US,BBB-,Consumer Discretionary,103.47,3.00%,4.80%,5.48%,4.11%,8.83%,-7.61%,13.86x,15.39x,31.09x
GPN:US,GLOBAL PAYMENTS INC,US,BBB-,Financials,64.05,,,5.29%,1.56%,15.47%,-67.24%,5.07x,5.05x,6.53x
GRMN:US,GARMIN LTD,US,,Consumer Discretionary,237.65,15.77%,6.64%,7.65%,1.77%,9.96%,80.74%,27.11x,26.84x,32.60x
GS:US,GOLDMAN SACHS GROUP INC,US,BBB+,Financials,863.04,21.74%,15.98%,23.28%,2.09%,10.75%,8.51%,16.28x,,
GWW:US,GRAINGER WW INC,US,A+,Industrials,"1,117.45",10.24%,9.21%,8.26%,0.81%,9.98%,83.91%,27.59x,25.90x,38.05x
HAL:US,HALLIBURTON CO,US,BBB+,Energy,38.17,,13.19%,32.68%,1.78%,10.74%,7.50%,16.13x,11.14x,18.84x
HAS:US,HASBRO INC,US,BBB,Consumer Discretionary,90.16,,0.24%,0.59%,3.11%,6.16%,7.67%,16.15x,13.88x,16.05x
HBAN:US,HUNTINGTON BANCSHARES INC,US,BBB+,Financials,15.79,,,0.66%,3.93%,15.67%,-28.44%,11.21x,,
HCA:US,HCA HEALTHCARE INC,US,BBB-,Health Care,471.84,9.09%,8.75%,77.88%,0.66%,9.98%,9.49%,16.42x,8.85x,15.01x
HD:US,HOME DEPOT INC,US,A,Consumer Discretionary,321.63,2.22%,6.63%,9.01%,2.90%,7.03%,45.45%,21.82x,18.74x,24.32x
HIG:US,HARTFORD INSURANCE GROUP INC,US,A-,Financials,136.19,11.92%,10.99%,10.69%,1.76%,5.83%,-32.32%,10.15x,6.38x,8.98x
HII:US,HUNTINGTON INGALLS INDUSTRIES INC,US,BBB-,Industrials,396.62,3.43%,4.34%,5.14%,1.39%,15.12%,65.71%,25.05x,13.17x,21.12x
HLT:US,HILTON WORLDWIDE HOLDINGS INC,US,BB+,Consumer Discretionary,304.95,,11.11%,-16.67%,0.20%,13.77%,143.93%,36.59x,32.62x,34.22x
HOLX:US,HOLOGIC INC,US,B+,Health Care,75.65,,,,,7.17%,16.41%,17.46x,13.81x,17.73x
HON:US,HONEYWELL INTERNATIONAL INC,US,A,Industrials,229.45,6.48%,5.44%,5.10%,2.07%,8.86%,53.40%,23.01x,22.74x,27.17x
HPE:US,HEWLETT PACKARD ENTERPRISE CO,US,BBB,Information Technology,24.61,,2.78%,1.67%,2.32%,14.73%,-23.30%,11.50x,9.16x,26.74x
HPQ:US,HP INC,US,BBB,Information Technology,19.51,5.01%,5.00%,10.80%,6.15%,3.47%,-56.96%,6.46x,5.03x,6.59x
HRL:US,HORMEL FOODS CORP,US,A-,Consumer Staples,22.09,2.66%,3.72%,4.53%,5.30%,6.60%,3.99%,15.60x,12.37x,18.82x
HSIC:US,SCHEIN HENRY INC,US,,Health Care,73.94,,,,,8.70%,-2.52%,14.62x,12.72x,15.74x
HST:US,HOST HOTELS & RESORTS INC,US,BBB-,Real Estate,19.14,5.56%,25.12%,-6.16%,4.18%,-7.52%,20.99%,18.15x,9.24x,12.15x
HSY:US,HERSHEY CO,US,A,Consumer Staples,206.19,,12.67%,11.95%,2.82%,17.62%,71.18%,30.16x,18.35x,24.43x
HUM:US,HUMANA INC,US,BBB,Health Care,177.83,,4.13%,7.38%,1.99%,19.94%,-40.93%,11.78x,15.65x,23.46x
HWM:US,HOWMET AEROSPACE INC,US,BBB+,Industrials,232.68,69.23%,64.06%,100.62%,0.21%,18.05%,223.68%,58.44x,48.47x,63.45x
IBM:US,INTERNATIONAL BUSINESS MACHINES CORP,US,A-,Information Technology,248.16,0.60%,0.60%,1.54%,2.71%,8.36%,40.30%,21.05x,16.56x,18.10x
ICE:US,INTERCONTINENTAL EXCHANGE INC,US,A-,Financials,162.98,6.67%,8.11%,9.90%,1.28%,10.70%,52.63%,22.89x,19.38x,21.31x
IDXX:US,IDEXX LABORATORIES INC,US,,Health Care,569.55,,,,,12.53%,182.34%,42.35x,38.38x,43.18x
IEX:US,IDEX CORP,US,BBB,Industrials,190.47,4.06%,6.43%,7.13%,1.49%,7.33%,58.02%,23.70x,20.86x,23.25x
IFF:US,INTERNATIONAL FLAVORS & FRAGRANCES INC,US,BBB-,Materials,72.43,,-16.46%,-8.83%,2.21%,6.70%,13.48%,17.02x,19.70x,55.50x
ILMN:US,ILLUMINA INC,US,BBB,Health Care,127.38,,,,,11.52%,72.84%,25.93x,18.71x,22.58x
INCY:US,INCYTE CORP,US,NR,Health Care,95.93,,,,,11.73%,-8.16%,13.78x,12.90x,13.42x
INTC:US,INTEL CORP,US,BBB,Information Technology,50.38,-100.00%,-66.21%,-37.66%,,41.05%,182.05%,115.78x,21.38x,
INTU:US,INTUIT INC,US,A,Information Technology,422.48,15.56%,15.22%,14.44%,1.14%,14.35%,27.08%,19.06x,16.67x,17.17x
IP:US,INTERNATIONAL PAPER CO,US,BBB,Materials,34.79,,,-0.95%,5.32%,128.96%,0.88%,99.87x,9.43x,
IPGP:US,IPG PHOTONICS CORP,US,,Information Technology,113.94,,,,,60.93%,98.06%,120.67x,51.22x,480.59x
IR:US,INGERSOLL RAND INC,US,BBB,Industrials,77.91,,,75.00%,0.10%,8.63%,53.31%,23.00x,22.40x,24.93x
IRM:US,IRON MOUNTAIN INC,US,BB-,Real Estate,103.30,17.91%,9.36%,5.61%,3.35%,7.44%,214.20%,47.13x,19.43x,19.43x
ISRG:US,INTUITIVE SURGICAL INC,US,,Health Care,452.07,,,,,13.76%,227.52%,49.13x,48.75x,57.15x
IT:US,GARTNER INC,US,BBB-,Information Technology,157.85,,,,,7.94%,-20.16%,11.98x,9.15x,10.03x
ITW:US,ILLINOIS TOOL WORKS INC,US,A+,Industrials,258.21,7.24%,7.12%,7.07%,2.49%,6.54%,61.34%,24.20x,23.26x,26.51x
IVZ:US,INVESCO LTD,US,BBB+,Financials,24.14,2.45%,4.49%,1.88%,3.48%,17.37%,-36.48%,11.03x,,8.38x
J:US,JACOBS SOLUTIONS INC,US,BBB-,Industrials,128.02,33.19%,15.70%,19.14%,1.12%,12.76%,28.55%,19.28x,20.58x,24.99x
JBHT:US,HUNT JB TRANSPORT SERVICES INC,US,BBB+,Industrials,214.91,2.33%,3.24%,10.91%,0.84%,15.95%,110.85%,33.62x,12.76x,22.79x
JCI:US,JOHNSON CONTROLS INTERNATIONAL PLC,US,BBB+,Industrials,132.97,2.03%,2.80%,8.24%,1.20%,16.83%,85.55%,31.22x,35.31x,42.87x
JKHY:US,HENRY JACK & ASSOCIATES INC,US,,Financials,157.48,5.61%,5.96%,6.37%,1.55%,7.28%,59.73%,23.96x,17.75x,23.21x
JNJ:US,JOHNSON & JOHNSON,US,AAA,Health Care,243.04,4.68%,4.92%,5.25%,2.14%,8.56%,47.57%,22.14x,22.87x,27.99x
JNPR:US,JUNIPER NETWORKS INC,US,BBB,,39.95,,3.25%,3.01%,2.20%,9.76%,39.78%,20.97x,25.13x,30.56x
JPM:US,JPMORGAN CHASE & CO,US,A,Financials,294.60,20.65%,11.83%,9.27%,2.04%,8.57%,-3.75%,14.44x,,
K:US,KELLANOVA,US,NR,,83.44,1.34%,1.40%,1.28%,2.78%,3.72%,52.22%,22.83x,19.21x,26.93x
KEY:US,KEYCORP,US,BBB,Financials,20.47,,1.27%,2.10%,4.01%,15.44%,-16.62%,12.87x,,
KEYS:US,KEYSIGHT TECHNOLOGIES INC,US,BBB+,Information Technology,291.24,,,,,14.16%,146.61%,36.99x,36.05x,37.14x
KHC:US,KRAFT HEINZ CO,US,BBB,Consumer Staples,22.79,,,,7.02%,-4.75%,-38.17%,9.27x,6.36x,8.04x
KIM:US,KIMCO REALTY CORP,US,A-,Real Estate,22.60,4.12%,6.88%,5.42%,4.60%,2.71%,99.78%,27.82x,12.73x,17.79x
KLAC:US,KLA CORP,US,A-,Information Technology,"1,516.84",19.47%,17.31%,15.54%,0.50%,20.52%,106.63%,42.41x,42.53x,46.03x
KMB:US,KIMBERLY CLARK CORP,US,A,Consumer Staples,96.13,3.28%,2.80%,3.34%,5.33%,2.79%,-9.43%,12.75x,9.64x,18.22x
KMX:US,CARMAX INC,US,,Consumer Discretionary,41.23,,,,,19.84%,-21.09%,15.65x,2.53x,3.22x
KO:US,COCA COLA CO,US,A+,Consumer Staples,76.72,5.16%,5.05%,4.47%,2.76%,7.18%,67.39%,25.11x,36.05x,47.01x
KR:US,KROGER CO,US,BBB,Consumer Staples,72.35,9.84%,12.59%,14.60%,1.94%,6.96%,-1.90%,14.71x,6.60x,14.20x
KRC:US,KILROY REALTY CORP,US,BBB-,Real Estate,28.45,,0.63%,1.87%,7.59%,-27.18%,3.02%,15.45x,7.14x,9.01x
KSS:US,KOHLS CORP,US,B+,Consumer Discretionary,12.82,-75.00%,-25.00%,13.41%,3.90%,-2.65%,-45.44%,8.18x,1.13x,1.55x
L:US,LOEWS CORP,US,A,Financials,107.69,,,,0.23%,,,,5.67x,5.64x
LB:CA,LAURENTIAN BANK OF CANADA,CA,BBB,Financials,40.09,,1.86%,-1.68%,4.69%,3.95%,-8.35%,13.75x,,
LDOS:US,LEIDOS HOLDINGS INC,US,BBB,Industrials,158.82,5.84%,4.24%,3.70%,1.08%,4.81%,-12.06%,13.19x,11.74x,13.06x
LEG:US,LEGGETT & PLATT INC,US,BBB-,Consumer Discretionary,9.69,-67.21%,-43.03%,-24.11%,2.06%,8.70%,-39.13%,9.13x,4.44x,5.02x
LEN:US,LENNAR CORP,US,BBB,Consumer Discretionary,86.49,4.07%,12.47%,29.48%,2.31%,9.73%,-22.05%,11.69x,25.77x,33.86x
LH:US,LABCORP HOLDINGS INC,US,,Health Care,273.72,,17.28%,17.28%,1.05%,8.43%,8.57%,16.29x,13.47x,18.70x
LHX:US,L3HARRIS TECHNOLOGIES INC,US,BBB,Industrials,356.00,3.45%,2.33%,7.36%,1.40%,13.69%,117.26%,32.59x,20.72x,24.21x
LIN:US,LINDE PLC,US,A,Materials,502.60,7.91%,8.64%,9.27%,1.27%,9.49%,99.26%,29.89x,22.43x,44.63x
LKQ:US,LKQ CORP,US,BBB-,Consumer Discretionary,28.19,,5.47%,81.61%,4.26%,6.64%,-37.88%,9.32x,6.96x,8.80x
LLY:US,LILLY ELI & CO,US,A+,Health Care,935.58,15.39%,15.25%,15.18%,0.74%,25.05%,39.40%,34.92x,42.00x,65.36x
LMT:US,LOCKHEED MARTIN CORP,US,A-,Industrials,622.79,4.71%,5.41%,6.39%,2.22%,13.69%,75.74%,26.36x,16.57x,21.20x
LNC:US,LINCOLN NATIONAL CORP,US,BBB+,Financials,34.88,,,2.43%,5.16%,5.16%,-71.56%,4.27x,25.38x,706.80x
LNT:US,ALLIANT ENERGY CORP,US,BBB+,Utilities,72.85,5.73%,5.89%,5.96%,2.94%,7.50%,48.50%,22.28x,13.79x,
LOW:US,LOWES COMPANIES INC,US,BBB+,Consumer Discretionary,231.03,4.40%,6.37%,16.25%,2.08%,6.75%,24.80%,18.72x,13.09x,16.96x
LRCX:US,LAM RESEARCH CORP,US,A-,Information Technology,218.44,15.00%,15.31%,14.87%,0.48%,22.49%,93.27%,43.47x,46.84x,52.09x
LTC:US,LTC PROPERTIES INC,US,,Real Estate,38.41,,,,5.94%,-9.87%,8.74%,16.31x,19.80x,13.42x
LUMN:US,LUMEN TECHNOLOGIES INC /LA/,US,B-,Communication Services,6.99,,-100.00%,-41.67%,,20.36%,,,1.49x,11.73x
LUV:US,SOUTHWEST AIRLINES CO,US,BBB,Industrials,37.60,,-10.00%,-40.00%,1.91%,57.35%,-57.14%,24.58x,8.89x,
LVS:US,LAS VEGAS SANDS CORP,US,BBB-,Consumer Discretionary,54.34,25.00%,62.50%,8.33%,2.21%,10.55%,17.84%,17.68x,12.09x,19.74x
LW:US,LAMB WESTON HOLDINGS INC,US,BB+,Consumer Staples,39.35,14.06%,15.11%,11.34%,3.86%,6.18%,-8.40%,13.74x,6.16x,12.94x
LYB:US,LYONDELLBASELL INDUSTRIES NV,US,BBB-,Materials,79.60,3.42%,-13.34%,17.74%,3.47%,37.33%,-4.61%,35.61x,11.09x,42.59x
LYV:US,LIVE NATION ENTERTAINMENT INC,US,BB-,Communication Services,155.75,,,,,186.63%,666.50%,758.84x,23.42x,61.85x
MA:US,MASTERCARD INC,US,A+,Financials,493.44,15.15%,15.76%,13.73%,0.71%,15.62%,78.85%,27.94x,24.64x,25.83x
